|Posición|Descripcion|conc
5358|842390|Pesas para toda clase de básculas o balanzas; partes de instrumentos o aparatos de pesar, n.c.o.p.|842390 - Pesas para toda clase de básculas o balanzas; partes de instrumentos o aparatos de pesar, n.c.o.p.
5359|842410|Extintores,  cargados o no|842410 - Extintores,  cargados o no
5360|842420|Pistolas aerográficas y aparatos simil. (exc. máquinas y aparatos eléctricos para proyectar ...|842420 - Pistolas aerográficas y aparatos simil. (exc. máquinas y aparatos eléctricos para proyectar ...
5361|842430|Máquinas y aparatos de chorro de arena o de vapor y aparatos de chorro simil., incl. aparatos ...|842430 - Máquinas y aparatos de chorro de arena o de vapor y aparatos de chorro simil., incl. aparatos ...
5362|842441|pulverizadores agrícolas u hortícolas, portátil|842441 - pulverizadores agrícolas u hortícolas, portátil
5363|842449|pulverizadores agrícolas u hortícolas (excl. portátiles)|842449 - pulverizadores agrícolas u hortícolas (excl. portátiles)
5364|842481|Aparatos mecánicos, incl. de mano, para proyectar, dispersar o pulverizar materias líquidas ...|842481 - Aparatos mecánicos, incl. de mano, para proyectar, dispersar o pulverizar materias líquidas ...
5365|842482|aparatos mecánicos agrícolas u hortícolas, aunque no sean accionados a mano, para proyectar ...|842482 - aparatos mecánicos agrícolas u hortícolas, aunque no sean accionados a mano, para proyectar ...
5366|842489|Aparatos mecánicos, incl. de mano, para proyectar, dispersar o pulverizar materias líquidas ...|842489 - Aparatos mecánicos, incl. de mano, para proyectar, dispersar o pulverizar materias líquidas ...
5367|842490|Partes de extintores, de pistolas aerográficas y de aparatos simil.; partes de máquinas y de ...|842490 - Partes de extintores, de pistolas aerográficas y de aparatos simil.; partes de máquinas y de ...
5368|842511|Polipastos, con motor eléctrico|842511 - Polipastos, con motor eléctrico
5369|842519|Polipastos, sin motor eléctrico|842519 - Polipastos, sin motor eléctrico
5370|842520|Tornos para el ascenso y descenso de jaulas o montacargas en pozos de minas; tornos especialmente ...|842520 - Tornos para el ascenso y descenso de jaulas o montacargas en pozos de minas; tornos especialmente ...
5371|842531|Tornos y cabrestantes, con motor eléctrico|842531 - Tornos y cabrestantes, con motor eléctrico
5372|842539|Tornos y cabrestantes, sin motor eléctrico|842539 - Tornos y cabrestantes, sin motor eléctrico
5373|842541|Elevadores fijos para vehículos, de los tipos utilizados en talleres|842541 - Elevadores fijos para vehículos, de los tipos utilizados en talleres
